country_name,country_code,year,gini_ratio,gdp_growth
Denmark,DNK,01/01/2007,26.2,0.909252996
Denmark,DNK,01/01/2008,25.2,-0.512025222
Denmark,DNK,01/01/2009,26.7,-4.906525558
Denmark,DNK,01/01/2010,27.2,1.870992639
Denmark,DNK,01/01/2011,27.3,1.336774667
Denmark,DNK,01/01/2012,27.8,0.226468476
Denmark,DNK,01/01/2013,28.5,0.933349282
Denmark,DNK,01/01/2014,28.4,1.619374971
Denmark,DNK,01/01/2015,28.2,1.606608994
Denmark,DNK,01/01/2016,..,1.964077129
Estonia,EST,01/01/2002,..,6.076394702
Estonia,EST,01/01/2003,37.2,7.416163365
Estonia,EST,01/01/2004,33.6,6.294746225
Estonia,EST,01/01/2005,33.4,9.373711454
Estonia,EST,01/01/2006,33.7,10.27188409
Estonia,EST,01/01/2007,31.2,7.748192368
Estonia,EST,01/01/2008,31.9,-5.41945589
Estonia,EST,01/01/2009,31.4,-14.72440391
Estonia,EST,01/01/2010,32,2.259075894
Estonia,EST,01/01/2011,32.5,7.597300209
Estonia,EST,01/01/2012,32.9,4.307258988
Estonia,EST,01/01/2013,35.1,1.936543444
Estonia,EST,01/01/2014,34.6,2.890710968
Estonia,EST,01/01/2015,32.7,1.674286623
Estonia,EST,01/01/2016,..,2.063262785
Finland,FIN,01/01/2002,..,1.680325089
Finland,FIN,01/01/2003,27.7,1.993984087
Finland,FIN,01/01/2004,27.9,3.926057175
Finland,FIN,01/01/2005,27.6,2.779955031
Finland,FIN,01/01/2006,28,4.055197444
Finland,FIN,01/01/2007,28.3,5.184800809
Finland,FIN,01/01/2008,27.8,0.720668487
Finland,FIN,01/01/2009,27.5,-8.269036558
Finland,FIN,01/01/2010,27.7,2.992337502
Finland,FIN,01/01/2011,27.6,2.570817745
Finland,FIN,01/01/2012,27.1,-1.42618936
Finland,FIN,01/01/2013,27.2,-0.758036295
Finland,FIN,01/01/2014,26.8,-0.631728091
Finland,FIN,01/01/2015,27.1,0.135082255
Finland,FIN,01/01/2016,..,2.135381815
France,FRA,01/01/2002,..,1.118456891
France,FRA,01/01/2003,31.4,0.819531669
France,FRA,01/01/2004,30.6,2.786424111
France,FRA,01/01/2005,29.8,1.607713814
France,FRA,01/01/2006,29.7,2.3749469
France,FRA,01/01/2007,32.4,2.361498874
France,FRA,01/01/2008,33,0.195294767
France,FRA,01/01/2009,32.7,-2.941341058
France,FRA,01/01/2010,33.7,1.965657376
France,FRA,01/01/2011,33.3,2.079229174
France,FRA,01/01/2012,33.1,0.182693034
France,FRA,01/01/2013,32.5,0.576241546
France,FRA,01/01/2014,32.3,0.947586472
France,FRA,01/01/2015,32.7,1.067461647
France,FRA,01/01/2016,..,1.187650381
Germany,DEU,01/01/2002,..,0
Germany,DEU,01/01/2003,..,-0.709906172
Germany,DEU,01/01/2004,30.4,1.169970413
Germany,DEU,01/01/2005,..,0.706713948
Germany,DEU,01/01/2006,31.3,3.700159572
Germany,DEU,01/01/2007,31.3,3.260535297
Germany,DEU,01/01/2008,..,1.082315404
Germany,DEU,01/01/2009,..,-5.618860435
Germany,DEU,01/01/2010,30.2,4.079933305
Germany,DEU,01/01/2011,30.5,3.660000155
Germany,DEU,01/01/2012,..,0.491992829
Germany,DEU,01/01/2013,31.1,0.489584482
Germany,DEU,01/01/2014,..,1.92969041
Germany,DEU,01/01/2015,31.7,1.743205394
Germany,DEU,01/01/2016,..,1.943625428
Greece,GRC,01/01/2002,..,3.922871842
Greece,GRC,01/01/2003,32.8,5.794531264
Greece,GRC,01/01/2004,33.6,5.060992565
Greece,GRC,01/01/2005,34.6,0.599142055
Greece,GRC,01/01/2006,35.1,5.65243372
Greece,GRC,01/01/2007,34,3.273746857
Greece,GRC,01/01/2008,33.6,-0.335172557
Greece,GRC,01/01/2009,33.6,-4.300733667
Greece,GRC,01/01/2010,34.1,-5.479037108
Greece,GRC,01/01/2011,34.8,-9.132494153
Greece,GRC,01/01/2012,36.2,-7.300493935
Greece,GRC,01/01/2013,36.1,-3.241425025
Greece,GRC,01/01/2014,35.8,0.739777123
Greece,GRC,01/01/2015,36,-0.290902297
Greece,GRC,01/01/2016,..,-0.244314741
Hungary,HUN,01/01/2002,..,4.528205916
Hungary,HUN,01/01/2003,..,3.848619662
Hungary,HUN,01/01/2004,29.9,5.004918024
Hungary,HUN,01/01/2005,34.7,4.388215174
Hungary,HUN,01/01/2006,28.3,3.851172967
Hungary,HUN,01/01/2007,27.9,0.434761639
Hungary,HUN,01/01/2008,27.5,0.855513037
Hungary,HUN,01/01/2009,27,-6.59997406
Hungary,HUN,01/01/2010,29.4,0.682378151
Hungary,HUN,01/01/2011,29.2,1.661916737
Hungary,HUN,01/01/2012,30.8,-1.643779899
