country;iso3;region;date;gdp_pc;rol_index;pop;epi
Malaysia;MYS;Asia;01/01/2014;26905.05;0.58;30606459;59.31
Malawi;MWI;Africa;01/01/2014;1670.22;0.51;16477966;40.06
Madagascar;MDG;Africa;01/01/2014;1662.84;0.45;24215976;26.7
Liberia;LBR;Africa;01/01/2014;1767.53;0.42;4519398;23.95
Lebanon;LBN;Asia;01/01/2014;15381.94;0.51;6274342;50.15
Kyrgyz Republic;KGZ;Asia;01/01/2014;5580.22;0.45;5835500;40.63
Kenya;KEN;Africa;01/01/2014;4580.39;0.43;45831863;36.99
Kazakhstan;KAZ;Asia;01/01/2014;31932.79;0.47;17288285;51.07
Jordan;JOR;Asia;01/01/2014;10305.7;0.57;8658026;55.78
Japan;JPN;Asia;01/01/2014;42909.01;0.78;127276000;72.35
Jamaica;JAM;Americas;01/01/2014;9751.44;0.53;2784543;58.26
Italy;ITA;Europe;01/01/2014;46779.75;0.63;60789140;74.36
Indonesia;IDN;Asia;01/01/2014;10612.93;0.52;256229761;44.36
India;IND;Asia;01/01/2014;6103.24;0.48;1307246509;31.23
Hungary;HUN;Europe;01/01/2014;30460.72;0.61;9866468;70.28
Guatemala;GTM;Americas;01/01/2014;10766.68;0.44;15306316;48.06
Greece;GRC;Europe;01/01/2014;31345.7;0.59;10892413;73.28
Ghana;GHA;Africa;01/01/2014;5588.23;0.57;28196358;32.07
Germany;DEU;Europe;01/01/2014;58981.48;0.8;80982500;80.47
Georgia;GEO;Asia;01/01/2014;14475.31;0.6;3719414;47.23
France;FRA;Europe;01/01/2014;51534.8;0.74;66312067;71.05
Finland;FIN;Europe;01/01/2014;53464.33;0.84;5461512;75.72
Ethiopia;ETH;Africa;01/01/2014;1846.39;0.42;99746766;39.43
Estonia;EST;Europe;01/01/2014;35466.23;0.76;1314545;74.66
El Salvador;SLV;Americas;01/01/2014;9380.86;0.48;6209526;43.79
Ecuador;ECU;Americas;01/01/2014;14115.39;0.45;15957994;58.54
Dominican Republic;DOM;Americas;01/01/2014;16872.3;0.47;10282115;53.24
Denmark;DNK;Europe;01/01/2014;61852.02;0.88;5643475;76.92
Czechia;CZE;Europe;01/01/2014;40862.97;0.67;10525347;81.47
Croatia;HRV;Europe;01/01/2014;28154.11;0.57;4238389;62.23
Cote d'Ivoire;CIV;Africa;01/01/2014;5234.49;0.46;22995555;39.72
Colombia;COL;Americas;01/01/2014;16740.42;0.49;46677947;50.77
China;CHN;Asia;01/01/2014;13696.52;0.45;1371860000;43
Chile;CHL;Americas;01/01/2014;27790.25;0.68;17687108;69.93
Canada;CAN;Americas;01/01/2014;54880.86;0.78;35434066;73.14
Cameroon;CMR;Africa;01/01/2014;4537.31;0.39;22299585;36.68
Cambodia;KHM;Asia;01/01/2014;3621.72;0.4;15210817;35.44
Burkina Faso;BFA;Africa;01/01/2014;2084.33;0.51;18169842;40.52
Bulgaria;BGR;Europe;01/01/2014;23155.45;0.53;7223938;64.01
Brazil;BRA;Americas;01/01/2014;18865.01;0.54;203459650;52.97
Botswana;BWA;Africa;01/01/2014;16385.85;0.67;2260376;47.6
Bosnia and Herzegovina;BIH;Europe;01/01/2014;13620.68;0.55;3571068;45.79
