country;iso3;region;date;gdp_pc;rol_index;pop;epi
Brazil;BRA;Americas;01/01/2022;18122.57;0.49;215313498;43.6
Botswana;BWA;Africa;01/01/2022;17298.22;0.59;2630296;54
Bosnia and Herzegovina;BIH;Europe;01/01/2022;19395.93;0.52;3233526;39.4
Bolivia;BOL;Americas;01/01/2022;9565.32;0.38;12224110;40.1
Belgium;BEL;Europe;01/01/2022;63450.45;0.79;11685814;58.2
Belarus;BLR;Europe;01/01/2022;26537.55;0.46;9228071;48.5
Bangladesh;BGD;Asia;01/01/2022;7805.15;0.39;171186372;23.1
Austria;AUT;Europe;01/01/2022;65836.89;0.8;9041851;66.5
Australia;AUS;Oceania;01/01/2022;59099.85;0.79;26014399;60.1
Argentina;ARG;Americas;01/01/2022;27127.44;0.55;46234830;41.1
Albania;ALB;Europe;01/01/2022;17260.12;0.49;2777689;47.1
Rep. Korea;KOR;Asia;01/01/2014;41648.25;0.77;50746659;63.79
Islamic Rep. Iran;IRN;Asia;01/01/2014;14575.04;0.44;79961672;51.08
Arab Rep. Egypt;EGY;Africa;01/01/2014;13402.46;0.45;95592324;61.11
Rep. Korea;KOR;Asia;01/01/2016;43674.51;0.73;51217803;70.61
Islamic Rep. Iran;IRN;Asia;01/01/2016;15006.19;0.47;83306231;66.32
Arab Rep. Egypt;EGY;Africa;01/01/2016;13983.28;0.36;99784030;66.45
Rep. Korea;KOR;Asia;01/01/2020;46506.93;0.73;51836239;66.5
Islamic Rep. Iran;IRN;Asia;01/01/2020;14468.61;0.43;87290193;48
Arab Rep. Egypt;EGY;Africa;01/01/2020;15572.78;0.36;107465134;43.3
Rep. Korea;KOR;Asia;01/01/2022;49933.98;0.73;51672569;46.9
Islamic Rep. Iran;IRN;Asia;01/01/2022;15499.91;0.41;88550570;34.5
Arab Rep. Egypt;EGY;Africa;01/01/2022;16600.39;0.35;110990103;35.5
Zimbabwe;ZWE;Africa;01/01/2018;3717;0.37;15052184;43.41
Zambia;ZMB;Africa;01/01/2018;3675;0.47;17835893;50.97
Viet Nam;VNM;Asia;01/01/2018;11089;0.5;94914330;46.96
Uzbekistan;UZB;Asia;01/01/2018;7448;0.46;32956100;45.88
Uruguay;URY;Americas;01/01/2018;29571;0.71;3427042;64.65
United States;USA;Americas;01/01/2018;68096;0.73;326838199;71.19
United Kingdom;GBR;Europe;01/01/2018;53821;0.81;66460344;79.89
United Arab Emirates;ARE;Asia;01/01/2018;70411;0.65;9140169;58.9
Ukraine;UKR;Europe;01/01/2018;17187;0.5;44690584;52.87
Uganda;UGA;Africa;01/01/2018;2617;0.4;41515395;44.28
Turkiye;TUR;Asia;01/01/2018;28576;0.42;81407204;52.96
Tunisia;TUN;Africa;01/01/2018;12864;0.53;11933041;62.35
Trinidad and Tobago;TTO;Americas;01/01/2018;31025;0.56;1504709;67.36
Thailand;THA;Asia;01/01/2018;20952;0.51;71127802;49.88
Tanzania;TZA;Africa;01/01/2018;3355;0.47;58090443;50.83
Sweden;SWE;Europe;01/01/2018;61256;0.86;10175214;80.51
Suriname;SUR;Americas;01/01/2018;22965;0.51;593715;54.2
St. Vincent and the Grenadines;VCT;Americas;01/01/2018;15910;0.61;105281;66.48
St. Lucia;LCA;Americas;01/01/2018;22378;0.63;177888;56.18
Sri Lanka;LKA;Asia;01/01/2018;14760;0.53;21670000;60.61
Spain;ESP;Europe;01/01/2018;45849;0.7;46797754;78.39
South Africa;ZAF;Africa;01/01/2018;14871;0.59;57339635;44.73
Slovenia;SVN;Europe;01/01/2018;44057;0.67;2073894;67.57
Singapore;SGP;Asia;01/01/2018;119343;0.8;5638676;64.23
Sierra Leone;SLE;Africa;01/01/2018;1619;0.45;7861281;42.54
Senegal;SEN;Africa;01/01/2018;4085;0.55;15574909;49.52
Russian Federation;RUS;Europe;01/01/2018;36908;0.47;145398106;63.79
Romania;ROU;Europe;01/01/2018;35258;0.66;19473970;64.78
Portugal;PRT;Europe;01/01/2018;39249;0.72;10283822;71.91
Poland;POL;Europe;01/01/2018;36752;0.68;37974750;64.11
Philippines;PHL;Asia;01/01/2018;9091;0.47;108568836;57.65
Peru;PER;Americas;01/01/2018;15243;0.52;32203944;61.92
Panama;PAN;Americas;01/01/2018;32767;0.52;4165255;62.71
Pakistan;PAK;Asia;01/01/2018;5427;0.39;219731479;37.5
Norway;NOR;Europe;01/01/2018;87559;0.89;5311916;77.49
North Macedonia;MKD;Europe;01/01/2018;21019;0.53;1889051;61.06
Nigeria;NGA;Africa;01/01/2018;5815;0.44;198387623;54.76
Nicaragua;NIC;Americas;01/01/2018;6808;0.44;6572233;55.04
New Zealand;NZL;Oceania;01/01/2018;47171;0.83;4900600;75.96
Netherlands;NLD;Europe;01/01/2018;66189;0.85;17231624;75.46
Nepal;NPL;Asia;01/01/2018;4306;0.53;28506712;31.44
Myanmar;MMR;Asia;01/01/2018;6155;0.42;52666014;45.32
Morocco;MAR;Africa;01/01/2018;8588;0.51;35927511;63.47
Mongolia;MNG;Asia;01/01/2018;15443;0.54;3163991;57.51
Moldova;MDA;Europe;01/01/2018;13896;0.49;2707203;51.97
Mexico;MEX;Americas;01/01/2018;22402;0.46;124013861;59.69
Malaysia;MYS;Asia;01/01/2018;30950;0.54;32399271;59.22
Malawi;MWI;Africa;01/01/2018;1714;0.51;18367883;49.21
Madagascar;MDG;Africa;01/01/2018;1725;0.44;26846541;33.73
Liberia;LBR;Africa;01/01/2018;1667;0.45;4889391;41.62
Lebanon;LBN;Asia;01/01/2018;16381;0.47;5950839;61.08
Kyrgyz Republic;KGZ;Asia;01/01/2018;6066;0.48;6322800;54.86
Kenya;KEN;Africa;01/01/2018;5043;0.45;49953304;47.25
Kazakhstan;KAZ;Asia;01/01/2018;33491;0.52;18276452;54.56
Jordan;JOR;Asia;01/01/2018;9314;0.6;10459865;62.2
Japan;JPN;Asia;01/01/2018;45095;0.79;126811000;74.69
Jamaica;JAM;Americas;01/01/2018;10167;0.58;2811835;58.58
Italy;ITA;Europe;01/01/2018;49297;0.65;60421760;76.96
Indonesia;IDN;Asia;01/01/2018;12395;0.52;267066843;46.92
India;IND;Asia;01/01/2018;7746;0.52;1369003306;30.57
Hungary;HUN;Europe;01/01/2018;35800;0.55;9775564;65.01
Honduras;HND;Americas;01/01/2018;6202;0.41;9792850;51.51
Guyana;GUY;Americas;01/01/2018;13086;0.5;785514;47.93
Guatemala;GTM;Americas;01/01/2018;11485;0.44;16346950;52.33
Grenada;GRD;Americas;01/01/2018;16119;0.61;121838;50.93
Greece;GRC;Europe;01/01/2018;32473;0.61;10732882;73.6
Ghana;GHA;Africa;01/01/2018;6187;0.59;30870641;49.66
Germany;DEU;Europe;01/01/2018;61981;0.84;82905782;78.37
Georgia;GEO;Asia;01/01/2018;17229;0.61;3726549;55.69
France;FRA;Europe;01/01/2018;54200;0.74;67158348;83.95
Finland;FIN;Europe;01/01/2018;57116;0.87;5515525;78.64
Ethiopia;ETH;Africa;01/01/2018;2343;0.38;111129438;44.78
Estonia;EST;Europe;01/01/2018;40683;0.8;1321977;64.31
El Salvador;SLV;Americas;01/01/2018;10204;0.48;6276342;53.91
Ecuador;ECU;Americas;01/01/2018;14094;0.47;17015672;57.42
Dominican Republic;DOM;Americas;01/01/2018;20579;0.47;10765531;64.71
Dominica;DMA;Americas;01/01/2018;15734;0.6;70823;59.38
Denmark;DNK;Europe;01/01/2018;66760;0.89;5793636;81.6
Czechia;CZE;Europe;01/01/2018;47464;0.74;10629928;67.68
Croatia;HRV;Europe;01/01/2018;33028;0.61;4087843;65.45
Cote d'Ivoire;CIV;Africa;01/01/2018;6108;0.47;25493988;45.25
Costa Rica;CRI;Americas;01/01/2018;22900;0.69;5040734;67.85
Colombia;COL;Americas;01/01/2018;17327;0.51;49276961;65.22
China;CHN;Asia;01/01/2018;17490;0.5;1402760000;50.74
Chile;CHL;Americas;01/01/2018;28795;0.67;18701450;57.49
Canada;CAN;Americas;01/01/2018;56470;0.81;37072620;72.18
Cameroon;CMR;Africa;01/01/2018;4797;0.37;25076747;40.81
Cambodia;KHM;Asia;01/01/2018;4521;0.32;16025238;43.23
Burkina Faso;BFA;Africa;01/01/2018;2315;0.51;20392723;42.83
Bulgaria;BGR;Europe;01/01/2018;26764;0.54;7025037;67.85
Brazil;BRA;Americas;01/01/2018;17572;0.54;210166592;60.7
Botswana;BWA;Africa;01/01/2018;16718;0.59;2451409;51.7
Bosnia and Herzegovina;BIH;Europe;01/01/2018;16515;0.53;3400129;41.84
Bolivia;BOL;Americas;01/01/2018;9823;0.38;11606905;55.98
Belize;BLZ;Americas;01/01/2018;11420;0.48;382066;57.79
Belgium;BEL;Europe;01/01/2018;60844;0.77;11427054;77.38
Belarus;BLR;Europe;01/01/2018;26364;0.51;9438785;64.98
Barbados;BRB;Americas;01/01/2018;17097;0.65;279688;55.76
Bangladesh;BGD;Asia;01/01/2018;6386;0.41;163683958;29.56
Austria;AUT;Europe;01/01/2018;65071;0.82;8840521;78.97
Australia;AUS;Oceania;01/01/2018;56801;0.81;24963258;74.12
Argentina;ARG;Americas;01/01/2018;27473;0.58;44494502;59.3
Antigua and Barbuda;ATG;Americas;01/01/2018;28663;0.63;91626;59.18
Albania;ALB;Europe;01/01/2018;14837;0.51;2866376;65.46
Afghanistan;AFG;Asia;01/01/2018;2907;0.35;36686784;37.74
Rep. Korea;KOR;Asia;01/01/2018;46034;0.72;51585058;62.3
Islamic Rep. Iran;IRN;Asia;01/01/2018;14728;0.48;85617562;58.16
Arab Rep. Egypt;EGY;Africa;01/01/2018;14759;0.36;103740765;61.21
The Bahamas;BHS;Americas;01/01/2018;32350;0.6;401906;54.99
