country,iso3,region,date, gdp_pc , rol_index , pop 
Cote d'Ivoire,CIV,Africa,20130101, 4,898 , 0.4545 , 22,469,268 
Colombia,COL,Americas,20130101, 16,172 , 0.4945 , 46,237,930 
China,CHN,Asia,20130101, 12,830 , 0.4779 , 1,363,240,000 
Chile,CHL,Americas,20130101, 27,577 , 0.6885 , 17,509,925 
Canada,CAN,Americas,20130101, 53,885 , 0.7930 , 35,080,992 
Cameroon,CMR,Africa,20130101, 4,424 , 0.3450 , 21,632,850 
Cambodia,KHM,Asia,20130101, 3,428 , 0.4060 , 14,999,683 
Burkina Faso,BFA,Africa,20130101, 2,058 , 0.5285 , 17,636,408 
Bulgaria,BGR,Europe,20130101, 22,808 , 0.5469 , 7,265,115 
Brazil,BRA,Americas,20130101, 18,932 , 0.5768 , 201,721,767 
Botswana,BWA,Africa,20130101, 15,804 , 0.7000 , 2,217,278 
Bosnia and Herzegovina,BIH,Europe,20130101, 13,292 , 0.5729 , 3,617,559 
Bolivia,BOL,Americas,20130101, 8,476 , 0.4039 , 10,743,349 
Belgium,BEL,Europe,20130101, 57,381 , 0.7465 , 11,159,407 
Belarus,BLR,Europe,20130101, 26,128 , 0.5261 , 9,443,211 
Bangladesh,BGD,Asia,20130101, 4,901 , 0.3953 , 154,030,139 
Austria,AUT,Europe,20130101, 62,455 , 0.8056 , 8,479,823 
Australia,AUS,Oceania,20130101, 54,022 , 0.8250 , 23,128,129 
Argentina,ARG,Americas,20130101, 29,498 , 0.5054 , 42,202,935 
Albania,ALB,Europe,20130101, 12,658 , 0.4898 , 2,895,092 
Zimbabwe,ZWE,Africa,20140101, 3,589 , 0.3446 , 13,855,753 
Zambia,ZMB,Africa,20140101, 3,621 , 0.4697 , 15,737,793 
Viet Nam,VNM,Asia,20140101, 8,794 , 0.4772 , 91,235,504 
Uzbekistan,UZB,Asia,20140101, 6,357 , 0.4547 , 30,757,700 
Uruguay,URY,Americas,20140101, 28,727 , 0.6920 , 3,391,662 
United States,USA,Americas,20140101, 63,215 , 0.7094 , 318,386,329 
United Kingdom,GBR,Europe,20140101, 51,055 , 0.7792 , 64,602,298 
United Arab Emirates,ARE,Asia,20140101, 63,309 , 0.6544 , 8,835,951 
Ukraine,UKR,Europe,20140101, 17,255 , 0.4717 , 45,272,155 
Uganda,UGA,Africa,20140101, 2,475 , 0.4052 , 36,336,539 
Turkiye,TUR,Asia,20140101, 24,831 , 0.5029 , 77,181,884 
Tunisia,TUN,Africa,20140101, 12,538 , 0.5457 , 11,428,948 
Thailand,THA,Asia,20140101, 18,391 , 0.5202 , 69,960,943 
Tanzania,TZA,Africa,20140101, 3,000 , 0.4716 , 50,814,552 
Sweden,SWE,Europe,20140101, 57,640 , 0.8529 , 9,696,110 
Sri Lanka,LKA,Asia,20140101, 12,629 , 0.5192 , 21,239,457 
Spain,ESP,Europe,20140101, 40,962 , 0.6696 , 46,480,882 
South Africa,ZAF,Africa,20140101, 14,869 , 0.5530 , 54,729,551 
Slovenia,SVN,Europe,20140101, 38,373 , 0.6499 , 2,061,980 
Singapore,SGP,Asia,20140101, 106,604 , 0.7881 , 5,469,724 
Sierra Leone,SLE,Africa,20140101, 1,964 , 0.4383 , 7,140,688 
Senegal,SEN,Africa,20140101, 3,529 , 0.5423 , 13,970,308 
Russian Federation,RUS,Europe,20140101, 36,218 , 0.4472 , 144,237,223 
Romania,ROU,Europe,20140101, 28,332 , 0.5935 , 19,908,979 
Portugal,PRT,Europe,20140101, 35,103 , 0.6627 , 10,401,062 
Poland,POL,Europe,20140101, 30,671 , 0.6749 , 38,011,735 
Philippines,PHL,Asia,20140101, 7,517 , 0.5009 , 101,325,201 
Peru,PER,Americas,20140101, 14,135 , 0.4889 , 30,353,951 
Panama,PAN,Americas,20140101, 28,888 , 0.5050 , 3,888,793 
Pakistan,PAK,Asia,20140101, 4,651 , 0.3550 , 208,251,628 
Norway,NOR,Europe,20140101, 85,045 , 0.8750 , 5,137,232 
North Macedonia,MKD,Europe,20140101, 18,642 , 0.5761 , 1,917,557 
Nigeria,NGA,Africa,20140101, 6,197 , 0.3912 , 179,379,016 
Nicaragua,NIC,Americas,20140101, 6,505 , 0.4347 , 6,208,676 
New Zealand,NZL,Oceania,20140101, 44,440 , 0.8273 , 4,516,500 
Netherlands,NLD,Europe,20140101, 61,616 , 0.8273 , 16,865,008 
Nepal,NPL,Asia,20140101, 3,649 , 0.5035 , 27,462,106 
Myanmar,MMR,Asia,20140101, 4,968 , 0.4056 , 51,072,436 
Morocco,MAR,Africa,20140101, 7,939 , 0.5077 , 34,248,603 
Mongolia,MNG,Asia,20140101, 14,233 , 0.5092 , 2,902,823 
Moldova,MDA,Europe,20140101, 11,641 , 0.4544 , 2,857,815 
Mexico,MEX,Americas,20140101, 21,546 , 0.4488 , 118,755,887 
Malaysia,MYS,Asia,20140101, 26,905 , 0.5755 , 30,606,459 
Malawi,MWI,Africa,20140101, 1,670 , 0.5058 , 16,477,966 
Madagascar,MDG,Africa,20140101, 1,663 , 0.4458 , 24,215,976 
Liberia,LBR,Africa,20140101, 1,768 , 0.4235 , 4,519,398 
Lebanon,LBN,Asia,20140101, 15,382 , 0.5125 , 6,274,342 
Kyrgyz Republic,KGZ,Asia,20140101, 5,580 , 0.4502 , 5,835,500 
Kenya,KEN,Africa,20140101, 4,580 , 0.4299 , 45,831,863 
Kazakhstan,KAZ,Asia,20140101, 31,933 , 0.4666 , 17,288,285 
Jordan,JOR,Asia,20140101, 10,306 , 0.5684 , 8,658,026 
Japan,JPN,Asia,20140101, 42,909 , 0.7792 , 127,276,000 
Jamaica,JAM,Americas,20140101, 9,751 , 0.5319 , 2,784,543 
Italy,ITA,Europe,20140101, 46,780 , 0.6308 , 60,789,140 
Indonesia,IDN,Asia,20140101, 10,613 , 0.5233 , 256,229,761 
India,IND,Asia,20140101, 6,103 , 0.4771 , 1,307,246,509 
Hungary,HUN,Europe,20140101, 30,461 , 0.6085 , 9,866,468 
Guatemala,GTM,Americas,20140101, 10,767 , 0.4384 , 15,306,316 
Greece,GRC,Europe,20140101, 31,346 , 0.5944 , 10,892,413 
Ghana,GHA,Africa,20140101, 5,588 , 0.5699 , 28,196,358 
Germany,DEU,Europe,20140101, 58,981 , 0.7952 , 80,982,500 
Georgia,GEO,Asia,20140101, 14,475 , 0.6038 , 3,719,414 
France,FRA,Europe,20140101, 51,535 , 0.7422 , 66,312,067 
Finland,FIN,Europe,20140101, 53,464 , 0.8373 , 5,461,512 
Ethiopia,ETH,Africa,20140101, 1,846 , 0.4200 , 99,746,766 
